@RELATION WAWeka
@ATTRIBUTE Ambient numeric
@ATTRIBUTE Wearable numeric
@ATTRIBUTE class {Exercise,Sweep,Walk,Meal,WashDishes,PlayPad,WatchTV,Read,Sleep,Other}
@DATA
7,0,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,1,WatchTV
7,0,WatchTV
0,0,WatchTV
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,0,PlayPad
0,14,PlayPad
0,14,PlayPad
0,0,PlayPad
0,0,PlayPad
0,3,PlayPad
13,3,PlayPad
13,3,Other
13,3,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
13,2,Walk
15,3,Other
15,3,Read
15,3,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,0,Read
15,1,Read
15,1,Read
15,0,Read
15,0,Read
15,4,Read
13,4,Read
13,4,Other
13,4,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,5,Sweep
13,6,Sweep
13,6,Sweep
13,6,Sweep
13,6,Sweep
13,6,Sweep
13,6,Sweep
13,6,Sweep
6,7,Sweep
6,7,Sleep
6,7,Sleep
6,8,Sleep
6,8,Sleep
6,8,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,9,Sleep
6,8,Sleep
6,8,Sleep
13,8,Sleep
13,11,Other
13,11,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,10,Exercise
13,12,Exercise
15,12,Other
15,12,Read
15,12,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
15,13,Read
0,13,Read
0,0,Other
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
0,14,PlayPad
