@RELATION WAWeka
@ATTRIBUTE Ambient numeric
@ATTRIBUTE Wearable numeric
@ATTRIBUTE class {Exercise,Sweep,Walk,Meal,WashDishes,PlayPad,WatchTV,Read,Sleep,Other}
@DATA
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,13,Exercise
2,14,Exercise
3,14,Other
3,14,Read
3,14,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
3,5,Read
1,5,Read
1,0,Other
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
1,2,PlayPad
