0.9999882472514147,1.1752748585299627E-5,7.571194734176494E-98,1.7630114376094752E-37,1.380025124224348E-26,6.422379291916266E-66,1.6340710037971358E-100,6.365307900846343E-66,6.35932320158767E-57,2.0196012992813938E-69,1.2552987724796791E-149,3.014488311855009E-60,5.1882582073884026E-126,2.345651887314336E-65,1.66953704996184E-63,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
0.033814644757536774,0.9661853552424632,1.2019875117724416E-101,8.936341139587719E-41,4.406554177834435E-27,1.0528877706624628E-69,1.942734330077632E-103,3.3805400727753334E-70,5.042856954982319E-60,2.1609794747734314E-71,1.3431734684719338E-151,3.2255115755666617E-62,5.551451912780832E-128,2.5098545862757366E-67,1.6905900251052385E-74,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.959746306922985E-7,0.9999997040253693,1.7857231439356472E-107,3.046992286336444E-45,1.0526516331981472E-29,1.7488300250789492E-75,1.617475795467777E-107,9.456030595237355E-76,5.984798583368842E-65,6.425648818726433E-76,3.9939116089444066E-156,9.591023370319651E-67,3.301436301713858E-132,4.1046638296617697E-70,7.2480129356199175E-90,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.6516364329824412E-14,0.9999999999999736,5.321987509869991E-114,5.4509958186621995E-52,5.925473073392976E-34,7.083005263850163E-85,4.135013350494032E-112,9.408710464595311E-82,4.0351391331391436E-70,1.642691886055217E-80,1.0210278181604667E-160,2.4519074592852643E-71,8.439992253172525E-137,1.0493411884445512E-74,1.7966306414384625E-107,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0197201139026088E-19,1.0,1.2925832243324943E-119,8.320859060841378E-58,1.6380742534655607E-38,2.1564987891305194E-91,5.421846616910552E-118,7.066957790192477E-88,7.838051043356506E-75,3.282011827805857E-84,3.263935645319854E-164,7.83805104336007E-75,2.698025565139241E-140,3.3544454403365544E-78,2.3765799041410512E-119,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
