7.570675563576508E-29,1.0,1.227471602100313E-66,5.8449771087788166E-95,4.723858047534558E-80,7.1052155093802875E-62,1.3548589159539598E-29,2.2586631438025632E-23,2.484759597189642E-72,2.744066442523494E-68,1.7756127746197914E-46,6.882585936376677E-23,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
1.0496290294041528E-32,1.0,3.4751008626525585E-73,4.666463613752616E-100,3.771394016596528E-85,6.093280415960279E-68,3.0252385288192593E-34,1.128626593348046E-36,4.5337361670943996E-79,7.714030504717041E-75,1.4175987776547474E-51,4.665044330949383E-31,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.1553613168567122E-36,1.0,4.457914684876363E-76,5.986213779751667E-103,4.838004257582159E-88,4.8130208828136394E-71,9.049656945155653E-37,2.9314429751708073E-50,4.200407538275889E-82,9.895681082566751E-78,1.818518269810241E-54,2.8442153098143816E-37,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
4.7229502389089906E-40,1.0,8.5170947636525305E-78,1.143699546583237E-104,9.243277101864156E-90,2.7436535127376354E-73,8.295413605619332E-39,1.0623106515756738E-63,4.938531071240856E-84,1.8906250901803022E-79,3.474380630466647E-56,4.8156966152677766E-43,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0741122184227713E-42,1.0,1.092029026223163E-80,3.6953467171320383E-106,2.986546055404776E-91,6.832151591789797E-76,9.085670482021264E-41,1.0087845507086338E-72,1.0094018742671879E-87,2.1816778844526728E-82,1.1225886287458548E-57,1.5131729188465736E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.0741122184227713E-42,1.0,1.092029026223163E-80,3.6953467171320383E-106,2.986546055404776E-91,6.832151591789797E-76,9.085670482021264E-41,1.0087845507086338E-72,1.0094018742671879E-87,2.1816778844526728E-82,1.1225886287458548E-57,1.5131729188465736E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
3.704999846802233E-40,1.0,1.007544075504826E-79,6.556645759566417E-106,2.1196089059170753E-90,2.510023363362757E-75,4.703034817084482E-39,2.0066318950484334E-71,1.7909795819442715E-87,3.870946394148411E-82,1.99180659781039E-57,2.684819466551843E-47,Predicted Result:,1,0,1,0,0,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
