NoActivity, 2015-04-07-07-43-26,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-31,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-36,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-41,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-46,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-51,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-56,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-02,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-07,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-13,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-17,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-22,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-27,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-32,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-37,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-43,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-48,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-53,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-44-58,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-03,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-08,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-13,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-19,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-24,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-29,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-34,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-39,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-44,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-51,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-45-54,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-46-00,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-46-10,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-46-20,6.3,6.3,10.75,130618,293895, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-25,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-30,6.3,6.3,10.75,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-36,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-41,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-46,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-51,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-46-56,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-01,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-06,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-11,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-20,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-27,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-32,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-37,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-42,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-47,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-52,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-58,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-03,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-08,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-13,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-20,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-23,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-28,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-37,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-44,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-49,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-54,6.3,6.3,4.3,130618,4.5, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
