WatchTV,26,0,0,0,11,2,0,1,0,0
WatchTV,38,0,0,0,0,2,0,0,0,0
WatchTV,40,0,0,0,0,0,0,0,0,0
WatchTV,40,0,0,0,0,0,0,0,0,0
WatchTV,40,0,0,0,0,0,0,0,0,0
WatchTV,40,0,0,0,0,0,0,0,0,0
WatchTV,34,3,0,1,2,0,0,0,0,0
WatchTV,40,0,0,0,0,0,0,0,0,0
WatchTV,36,3,0,0,1,0,0,0,0,0
PlayPad,8,4,0,0,19,1,0,7,1,0
PlayPad,31,0,0,0,3,5,0,1,0,0
PlayPad,10,0,0,0,19,11,0,0,0,0
PlayPad,20,0,0,0,0,20,0,0,0,0
PlayPad,8,0,0,0,27,5,0,0,0,0
PlayPad,16,0,0,0,13,10,0,1,0,0
Walk,0,0,1,30,0,0,7,1,0,1
Walk,0,0,0,40,0,0,0,0,0,0
Walk,0,0,0,40,0,0,0,0,0,0
Walk,0,0,0,40,0,0,0,0,0,0
Walk,0,0,0,40,0,0,0,0,0,0
Walk,0,0,0,37,0,0,0,3,0,0
Walk,0,0,0,37,0,0,0,3,0,0
Walk,1,0,0,35,1,0,0,3,0,0
Read,8,0,0,1,0,30,0,1,0,0
Read,31,0,0,0,1,8,0,0,0,0
Read,8,0,0,0,3,29,0,0,0,0
Read,8,0,0,0,0,31,0,1,0,0
Read,28,0,0,0,1,11,0,0,0,0
Read,26,0,0,0,0,14,0,0,0,0
Read,21,0,0,0,3,16,0,0,0,0
Read,15,0,0,1,12,11,0,1,0,0
Read,26,0,0,0,2,11,0,1,0,0
Read,10,0,0,0,2,26,0,2,0,0
Read,37,0,0,0,0,3,0,0,0,0
Read,25,0,1,0,1,13,0,0,0,0
Sweep,0,0,1,31,0,7,0,1,0,0
Sweep,0,0,3,37,0,0,0,0,0,0
Sweep,0,0,0,40,0,0,0,0,0,0
Sweep,0,0,0,40,0,0,0,0,0,0
Sweep,0,0,0,39,0,0,0,1,0,0
Sweep,0,0,4,17,0,0,0,19,0,0
Sweep,0,0,5,7,0,0,0,28,0,0
