Activity,livingroom_tempterature,livingroom_humidity,livingroom_luminance,study_tempterature,study_humidity,study_luminance,kitchen_tempterature,kitchen_humidity,kitchen_luminance,hallway_tempterature,hallway_humidity,hallway_luminance,bedroom_tempterature,bedroom_humidity,bedroom_luminance,light_livingroom,light_hallway,light_bedroom,light_kitchen,light_study,switch_door_hallway,audio_livingroom,current_watercoldfan_livingroom,current_lamp_bedroom,current_PC_bedroom,current_TV_livingroom,current_lamp_livingroom,current_xbox_livingroom,current_microwave_kitchen,current_AC_bedroom,current_AC_livingroom,current_lamp_study,current_NB_study,current_nightlamp_bedroom,people_hallway,people_livingroom,people_bedroom,people_kitchen,people_study,Timestamp
 PlayingKinect,24.65,56.56,94.5,26.06,49.02,8.4,27.72,44.66,10.75,27.03,56.56,16,25.26,51.05,36,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-18
 PlayingKinect,24.65,56.56,94.5,26.05,48.97,6.3,27.74,44.71,15.05,27.02,56.56,20,25.26,51.05,22.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-19
 PlayingKinect,24.66,56.56,100.8,26.05,48.97,6.3,27.75,44.71,12.9,27.02,56.56,16,25.26,51.05,18,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-20
 PlayingKinect,24.66,56.61,88.2,26.05,48.97,8.4,27.75,44.71,21.5,27.02,56.43,18,25.26,51.05,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-21
 PlayingKinect,24.65,56.66,90.3,26.05,48.91,8.4,27.76,44.84,15.05,27.02,56.18,20,25.26,51.05,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-22
 PlayingKinect,24.66,56.66,90.3,26.05,48.91,4.2,27.75,44.71,17.2,27.02,55.94,20,25.25,51.03,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-23
 PlayingKinect,24.65,56.79,94.5,26.05,48.91,4.2,27.76,44.84,10.75,27.02,55.03,22,25.25,51.03,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-25
 PlayingKinect,24.65,56.79,94.5,26.05,48.91,4.2,27.76,44.84,10.75,27.02,55.03,22,25.24,51.03,18,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-26
 PlayingKinect,24.65,56.79,94.5,26.05,48.91,4.2,27.76,44.84,10.75,27.02,55.03,22,25.24,50.98,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-27
 PlayingKinect,24.65,56.79,94.5,26.05,48.91,4.2,27.8,44.78,10.75,27.02,55.51,16,25.26,50.98,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-29
 PlayingKinect,24.65,56.79,96.6,26.05,48.91,4.2,27.79,44.73,8.6,27.02,55.57,16,25.26,50.98,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-30
 PlayingKinect,24.63,56.84,96.6,26.02,48.84,4.2,27.78,44.71,15.05,27.03,55.21,24,25.25,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-31
 PlayingKinect,24.65,56.92,96.6,26.02,48.84,4.2,27.78,44.84,12.9,27.04,54.59,16,25.26,50.92,27,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-32
