NoActivity, 2015-04-07-07-42-04,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-09,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-14,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-19,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24.23,49.3,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-24,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-29,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-34,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-39,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-45,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-42-56,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-00,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-05,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
NoActivity, 2015-04-07-07-43-10,25.88,55.64,6.3,25.68,52.77,6.3,28.87,43.67,10.75,27.4,49.5,130618,24,48.91,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, off, off, off, off, 
