1.0,3.4679461814354605E-87,3.3112086729556402E-149,1.947676214313298E-23,1.865362791927517E-33,1.106087084881607E-148,1.3836379361086216E-71,6.936904388408341E-105,7.402169563167353E-70,4.548251446177956E-126,6.894436379827759E-126,2.4393387254751653E-111,3.655666281067601E-69,1.828064456775021E-38,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,2.8212147300845767E-88,7.497757625613961E-149,1.0124337521244313E-23,3.5393194970800806E-34,2.504575728796204E-148,9.192753774217558E-75,7.52010360269336E-105,1.6761152428251677E-69,1.0298863748096855E-125,1.5611463380273876E-125,5.4687299039500505E-111,1.6819220497490952E-68,2.7105606045584833E-39,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,1.5253915857900785E-88,7.045153746886844E-149,6.448881692562793E-28,1.577311177603007E-37,2.353386433806673E-148,1.6951899011108826E-78,5.383733945900611E-105,1.5749361573244825E-69,9.677170448504074E-126,1.4669073771308725E-125,1.9412780312942626E-110,4.532007718032684E-68,6.184112415179823E-36,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,1.8360789976242322E-89,1.552687959077586E-148,1.1795701602210584E-30,2.593151457919151E-40,5.1866501571280064E-148,3.946526115636524E-79,8.898945827963689E-105,3.471016383147309E-69,2.132760557501819E-125,3.2329307539623115E-125,6.525072734259339E-110,4.259154037566502E-68,3.6675095624656096E-34,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,2.1898360407076384E-88,3.861933956873022E-149,1.9620222033547945E-29,4.5422511962153536E-39,1.2900531782402096E-148,5.434708840438485E-76,5.0126920929144356E-105,8.633309711160232E-70,5.304723573710573E-126,8.041129569090479E-126,1.1608889253850007E-110,2.7920516833001523E-69,4.397205950198153E-35,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,2.808248321460124E-87,2.7240909368685783E-149,9.453260446418861E-24,4.5365450962059085E-34,9.099643365647034E-149,1.4813519597890754E-72,4.517967663962526E-105,6.089674500091404E-70,3.741790918898276E-126,5.671968610847126E-126,2.2498755234960177E-111,3.476892237832698E-69,1.0669087573207024E-38,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,8.715294137121941E-88,4.424214941707378E-149,6.390558916016334E-24,1.8739852396717432E-34,1.4778793761115278E-148,4.594772567099453E-74,5.7425185160866395E-105,9.890282497453197E-70,6.077068525387352E-126,9.21188347219674E-126,3.986223717076546E-111,6.254966486010755E-69,6.69705859030357E-39,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,6.051278708488112E-88,5.081519485847385E-149,1.3666668509898544E-26,1.4149907303704432E-36,1.6974475576777747E-148,1.092792061254107E-77,5.096664216281239E-105,1.1359679376532024E-69,6.979937126753518E-126,1.0580490772204146E-125,1.065371494830265E-110,4.903261097550213E-68,6.436639167921085E-37,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,2.3021596736144075E-89,7.691575879758026E-149,5.586552818779773E-30,2.7009214675220965E-38,2.5693194186839484E-148,5.26746406935753E-78,5.877713907743654E-105,1.719443094461658E-69,1.0565091051034502E-125,1.601502224776624E-125,3.119460786264843E-110,2.0704800099493054E-68,1.3638241219786334E-33,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,4.636832390408072E-89,4.956498856031206E-149,2.1226375260783695E-28,6.061759791845458E-37,1.6556852534434098E-148,5.147576524299121E-74,6.43340950440579E-105,1.1080197171689151E-69,6.808209725511734E-126,1.0320178945363593E-125,1.7153600705982364E-110,2.665900869021153E-69,1.918001018166245E-33,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,2.808248321460124E-87,2.7240909368685783E-149,9.453260446418861E-24,4.5365450962059085E-34,9.099643365647034E-149,1.4813519597890754E-72,4.517967663962526E-105,6.089674500091404E-70,3.741790918898276E-126,5.671968610847126E-126,2.2498755234960177E-111,3.476892237832698E-69,1.0669087573207024E-38,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
1.0,3.05631595758682E-88,8.122570761069021E-149,3.1231509020039532E-24,2.652774836226758E-34,2.7132903728582887E-148,1.214489827889056E-75,8.146778902905E-105,1.8157915130577437E-69,1.1157102393754053E-125,1.6912418661936778E-125,5.924457395936574E-111,3.644164441131196E-68,3.752118614643353E-39,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,WashDishes,0,0,0,0,1,0,0,0,0,0
