Activity,livingroom_luminance
 PlayingKinect,92.4
 PlayingKinect,105
 PlayingKinect,105
 PlayingKinect,105
 PlayingKinect,90.3
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,92.4
 PlayingKinect,96.6
 WatchingTV,186.9
 WatchingTV,186.9
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,193.2
 WatchingTV,233.1
 WatchingTV,184.8
 WatchingTV,239.4
 WatchingTV,201.6
 WatchingTV,201.6
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,168
 WatchingTV,207.9
 WatchingTV,241.5
 WatchingTV,201.6
 WatchingTV,210
 WatchingTV,231
 WatchingTV,231
 WatchingTV,186.9
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,233.1
 WatchingTV,182.7
 WatchingTV,205.8
 WatchingTV,245.7
 WatchingTV,203.7
 WatchingTV,207.9
 WatchingTV,222.6
 WatchingTV,222.6
 WatchingTV,174.3
 WatchingTV,199.5
 WatchingTV,199.5
 WatchingTV,224.7
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,201.6
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,212.1
 WatchingTV,212.1
 WatchingTV,216.3
 WatchingTV,174.3
 WatchingTV,153.3
 WatchingTV,237.3
 WatchingTV,184.8
 WatchingTV,184.8
 WatchingTV,184.8
 WatchingTV,233.1
 WatchingTV,233.1
 WatchingTV,233.1
 WatchingTV,237.3
 WatchingTV,203.7
 WatchingTV,239.4
 WatchingTV,186.9
 WatchingTV,186.9
 WatchingTV,186.9
 WatchingTV,186.9
 WatchingTV,186.9
 WatchingTV,210
 WatchingTV,243.6
 WatchingTV,243.6
 WatchingTV,184.8
 WatchingTV,237.3
 WatchingTV,243.6
 WatchingTV,243.6
 WatchingTV,189
 WatchingTV,228.9
 WatchingTV,228.9
 WatchingTV,228.9
 WatchingTV,228.9
 WatchingTV,243.6
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,201.6
 WatchingTV,214.2
 WatchingTV,222.6
 WatchingTV,222.6
 WatchingTV,222.6
 WatchingTV,189
 WatchingTV,189
 WatchingTV,207.9
 WatchingTV,207.9
 WatchingTV,231
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,205.8
 WatchingTV,153.3
 WatchingTV,235.2
 WatchingTV,239.4
 WatchingTV,170.1
 WatchingTV,210
 WatchingTV,235.2
 WatchingTV,180.6
 WatchingTV,180.6
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,184.8
 WatchingTV,241.5
 WatchingTV,241.5
 WatchingTV,193.2
 WatchingTV,205.8
 WatchingTV,214.2
 WatchingTV,214.2
 WatchingTV,214.2
 WatchingTV,237.3
 WatchingTV,186.9
 WatchingTV,201.6
 WatchingTV,201.6
 WatchingTV,178.5
 WatchingTV,178.5
 WatchingTV,189
 WatchingTV,207.9
 WatchingTV,218.4
 WatchingTV,237.3
 WatchingTV,170.1
 WatchingTV,170.1
 WatchingTV,170.1
 WatchingTV,231
 WatchingTV,176.4
 WatchingTV,210
 WatchingTV,214.2
 WatchingTV,214.2
 WatchingTV,182.7
 WatchingTV,182.7
 WatchingTV,214.2
 WatchingTV,224.7
 WatchingTV,224.7
 WatchingTV,195.3
 WatchingTV,197.4
 WatchingTV,197.4
 WatchingTV,149.1
 WatchingTV,186.9
 WatchingTV,186.9
 WatchingTV,226.8
 WatchingTV,180.6
 WatchingTV,182.7
 WatchingTV,218.4
 WatchingTV,218.4
 WatchingTV,180.6
 WatchingTV,210
 WatchingTV,210
 WatchingTV,184.8
 WatchingTV,186.9
 WatchingTV,153.3
 WatchingTV,174.3
 WatchingTV,195.3
 WatchingTV,195.3
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,214.2
 WatchingTV,214.2
 WatchingTV,214.2
 WatchingTV,182.7
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,191.1
 WatchingTV,191.1
 WatchingTV,239.4
 WatchingTV,239.4
 WatchingTV,239.4
 WatchingTV,195.3
 WatchingTV,195.3
 WatchingTV,235.2
 WatchingTV,235.2
 WatchingTV,193.2
 WatchingTV,193.2
 WatchingTV,184.8
 WatchingTV,205.8
 WatchingTV,241.5
 WatchingTV,197.4
 WatchingTV,197.4
 WatchingTV,226.8
 WatchingTV,226.8
 WatchingTV,203.7
 WatchingTV,203.7
 WatchingTV,212.1
 WatchingTV,197.4
 WatchingTV,224.7
 WatchingTV,224.7
 WatchingTV,191.1
 WatchingTV,237.3
 WatchingTV,237.3
 WatchingTV,180.6
 WatchingTV,197.4
 WatchingTV,203.7
 WatchingTV,203.7
 WatchingTV,203.7
 WatchingTV,203.7
 WatchingTV,203.7
 WatchingTV,203.7
 WatchingTV,172.2
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,220.5
 WatchingTV,176.4
 WatchingTV,193.2
