Activity,livingroom_tempterature
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.64
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.64
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.63
 PlayingKinect,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.65
 WatchingTV,24.64
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.64
 WatchingTV,24.65
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.64
 WatchingTV,24.65
 WatchingTV,24.64
 WatchingTV,24.66
 WatchingTV,24.65
 WatchingTV,24.65
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.64
 WatchingTV,24.63
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
 WatchingTV,24.62
 WatchingTV,24.62
 WatchingTV,24.61
 WatchingTV,24.61
