Exercise,0,0,0,0,0,0,116,0,1,0,0,0,0,0,0,0
Sweep,0,0,0,0,0,2,0,0,0,3,0,131,17,0,0,0
Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
Meal,0,0,0,63,0,8,0,0,13,0,0,0,0,109,0,0
WashDishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
PlayPad,3,0,0,54,0,0,0,0,0,0,0,0,0,48,0,0
WatchTV,92,20,27,0,0,0,0,0,3,0,0,0,0,0,0,0
Read,86,0,0,20,29,18,0,34,33,0,0,0,0,0,0,0
Sleep,0,0,0,0,0,0,0,0,0,8,121,0,0,0,0,0
Other,0,0,0,2,0,2,0,1,3,3,0,0,0,0,3,0
