Exercise,0,0,0,0,0,0,0,0,0,0,0,0,119,0
Sweep,0,0,0,0,0,0,0,2,0,0,0,64,0,0
Walk,0,0,0,0,0,0,0,59,0,0,0,0,0,0
Meal,0,26,0,107,90,0,2,0,0,0,0,0,0,0
WashDishes,0,0,0,0,0,0,172,0,0,0,0,0,0,0
PlayPad,0,0,89,0,0,45,0,0,0,3,0,0,0,0
WatchTV,21,0,0,0,0,6,0,0,0,0,42,0,0,0
Read,0,0,0,0,0,2,0,0,62,124,0,0,0,0
Sleep,0,0,0,0,0,0,0,2,0,0,0,0,0,297
Other,1,0,1,0,0,3,2,4,0,0,0,1,2,1
