Activity,livingroom_luminance
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,168
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,170.1
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,170.1
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,165.9
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,165.9
WatchingTV,165.9
WatchingTV,165.9
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,174.3
WatchingTV,165.9
WatchingTV,168
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,168
WatchingTV,165.9
WatchingTV,165.9
WatchingTV,165.9
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,168
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,172.2
WatchingTV,168
WatchingTV,165.9
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,170.1
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
WatchingTV,168
