6.901557840819795E-59,7.6095014959651375E-25,1.9238595335060707E-87,5.628124108090293E-78,2.186462135388923E-146,4.6948433665019757E-119,8.14541066473827E-24,0.00716007282059873,7.957686182615948E-96,1.6731436077862853E-59,3.960537643726539E-129,0.9928399271794012,8.262597550378856E-95,9.016768018567584E-45,2.656442372654401E-65,5.909879030848004E-44,Predicted Result:,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
5.853107006553574E-73,6.828982677257247E-27,3.195298663498075E-91,5.11821678428197E-83,1.9883689457803068E-151,7.080823208647517E-124,3.2895082794195647E-25,0.9999937872417045,6.961560251423118E-101,1.6845139505556598E-63,1.9135431499756432E-135,6.212758295545571E-6,6.558834215666424E-105,6.353808436001642E-54,1.1673556264183702E-74,3.059178660739688E-51,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
2.2291717888860498E-90,3.225077873834057E-30,2.8074550668636757E-95,3.0581399301119946E-88,1.1880525435587652E-156,6.697532840692438E-129,5.8061632976257336E-27,0.9999999999999674,2.172355607138622E-106,9.24047246262823E-68,8.257484816853659E-141,3.26643005618317E-14,1.0591218579547526E-115,8.178560138029016E-65,8.225028400162295E-86,5.100277687683397E-59,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
1.0601392112741723E-107,2.355814964981628E-33,2.3265696179171242E-98,2.0757387902128403E-92,8.06400886083182E-161,6.923376037936001E-133,8.097926649234729E-28,1.0,3.9294932570711315E-111,4.907977187242454E-71,3.449131611043259E-145,1.6064226836283033E-22,2.8334756078470696E-126,1.7339160517234904E-75,9.409409479446604E-97,1.5939350258611815E-66,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
9.210874640815166E-122,7.536852779526836E-37,1.699009524772145E-101,1.4591212498894286E-96,5.668519923538162E-165,7.173537975503636E-137,3.246771457262979E-29,1.0,4.328507102879923E-116,6.718998716593547E-76,9.839833368362752E-151,1.0516056402848032E-29,1.35957911403489E-138,3.5056809819070093E-84,1.194589344748897E-106,1.451065322362268E-75,Predicted Result:,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,WatchTV,0,0,0,0,0,0,1,0,0,0
