1.0,2.5468078703141524E-148,2.3973827126614247E-143,1.4525291441113064E-47,1.3876230608468111E-142,8.462335325966831E-47,1.9872931067269768E-59,5.746404994120138E-124,4.124908517649251E-108,4.3953397227556945E-136,6.855012762708931E-132,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,1.6892671148574116E-150,4.753132125791691E-146,3.0714338972154576E-51,3.7173290767262416E-148,5.471886759762249E-51,4.765019041316439E-65,1.4177976806757257E-126,1.3085093231087949E-110,6.959052585627446E-140,9.12857452064061E-137,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,1.6892671148574116E-150,4.753132125791691E-146,3.0714338972154576E-51,3.7173290767262416E-148,5.471886759762249E-51,4.765019041316439E-65,1.4177976806757257E-126,1.3085093231087949E-110,6.959052585627446E-140,9.12857452064061E-137,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
1.0,2.9664553334074836E-152,5.193556853227021E-148,1.1129700088126696E-53,5.895217138459352E-150,1.9496951875885562E-53,1.198703524830369E-69,1.1065504757247424E-128,1.4297556606263223E-112,2.299559780043668E-143,2.3228754737238825E-141,Predicted Result:,0,1,0,0,0,0,0,0,0,0,0,0,Sleep,0,0,0,0,0,0,0,0,1,0
